,Source,Datetime,Username,Review,Region
0,playstore,2022-08-25 01:17:38,Hamza Shahid,i got my debit card and message from YAP that your Account has been activated but i am trying to open my account on RAK Bank App But RAK bank App is continusly rejecting my card num and my account number what is the issue if YAP is linked with RAK than why my account is not working in RAK MObile banking app,
1,playstore,2022-08-24 19:25:13,Jowhar Lala,Worst banking app ever When I read the other reviews I am taking it as a joke Because it s been more than 8 months my card is not yet activated In between this time period I have opened other accounts and using them for the very next day itself As all others reviewed google should make an option to give negative stars Never ever recommend to anyone If you apply may be you get it activated in the next decade ,
2,playstore,2022-08-24 18:38:37,Abdul Sattar,Lowest process service i applied for account but thay did not process still pending very disappointed,
3,playstore,2022-08-24 16:32:30,Raj Kumar,Excellent digital bank account Customer support is excellent I am very happy to open this account,
4,playstore,2022-08-24 16:20:09,Abdul Qadeer Khalid,Good,
5,playstore,2022-08-24 12:52:38,Saeed Ahmad,Not really happy ,
6,playstore,2022-08-23 23:56:16,Zaki Abbas,wrost application i transfer mony to my home country remitence 3400 dirhm niw 1 week there still not credit and they say already credit now i send bank stetment and they sy our team will be chek and now 1 week team cheking and they didnt give me proper information,
7,playstore,2022-08-23 18:44:56,Salim Salim,The worst company scammers fake promise i wont suggest anyone use this,
8,playstore,2022-08-23 18:20:14,Jamil Malik,Good,
9,playstore,2022-08-23 12:28:18,Rana Waqas,Excellent  progress ,
10,playstore,2022-08-23 11:54:10,Naeem Ahmad,Extremely worst app if i had option to give  I would have given 10 hate this app and the support team I applied for the card 6 months ago and these stupid support team just keep on saying extremely stupid reason and asking for additional documents which is really not needed as I am from a banking background,
11,playstore,2022-08-22 19:02:20,DhinesuBaabu Thangavelu,App is not working on note 20 ultra,
12,playstore,2022-08-22 14:03:35,Ehab Younis,      665                    ,
13,playstore,2022-08-22 12:01:13,anan salam,For 3 weeks I can t set pin code and there is no technical support no customer service not recommended at all,
14,playstore,2022-08-21 16:23:54,Haja Mohideen,I have been facing issue with yap since today morning app is not loading in android device Plz do the needful to fix the issue If the app not working Then whats the point going digital,
15,playstore,2022-08-21 12:35:49,Anton,First of all they reviewed my registration after 3 weeks I submitted all documents And now they are asking me for additional document Guess what Answer from support You may provide any document such as a utility bill rental agreement employment contract or even a payment receipt in 2017 ,
16,playstore,2022-08-21 10:54:20,Abdus salam SOWOU,Help us,
17,playstore,2022-08-21 09:45:28,David Boateng,Can YAP send money to ghana,
18,playstore,2022-08-21 08:23:45,Muhammad Asim,To much good,
19,playstore,2022-08-20 17:16:46,Mountain Girl,I will try this,
20,playstore,2022-08-20 17:02:00,Nasif K,They don t give you the signup bonus Its a scam,
21,playstore,2022-08-20 15:55:57,mark anthony Santiago,Very nice apps,
