Unnamed: 0,Source,Datetime,Username,Review,Region,Sentiment
0,playstore,2022-09-10 14:32:34,Qasim Manj,very bad acount i register account for 1 month but acount not active still useles app waste of time,,negative
1,playstore,2022-09-10 04:19:49,Sk Merman,very good apps  i love this apps,,positive
2,playstore,2022-09-09 15:57:58,sham shaam,good,,positive
3,playstore,2022-09-09 02:16:00,mohamed raffi,good,,positive
4,playstore,2022-09-07 20:38:13,Ahmed Imran imran,amazing service got the card in 2 days and account activated the very next day of delivery and also deposited some money,,negative
5,playstore,2022-09-07 11:48:18,Saji Kumar,very helpful ,,positive
6,playstore,2022-09-06 15:59:31,Team A,good app  and tell me about a card can we get a card free or pay a tax for that well almost good for trans or paying money customer support is not good  be better be banking ,,negative
7,playstore,2022-09-06 13:20:50,PRAVISHA BALAN,not working,,negative
8,playstore,2022-09-06 05:57:50,anan salam,for 3 weeks i can t set pin code and there is no technical support no customer service not recommended at all updating after 5 weeks and still have the same problem they unbelievably bad ,,negative
9,playstore,2022-09-06 02:22:06,Hanabi Zandsir,very bad i apply now almost one week and waiting for my card is only showing me on the way still i don t receive any written i would receive 48 hour is almost week very bad experience,,negative
10,playstore,2022-09-05 19:21:39,New Movies Mella,hello i want to register my id card it s new one before app didn t accept now giving error talk to support plz help me out to make card as soon as possible,,negative
11,playstore,2022-09-05 18:24:40,John Marzon,openned an account like a week ago still nothing even it says 48 hours not interested anymore how do i cancel this,,negative
12,playstore,2022-09-05 18:07:21,Anas Aldouri,do not waste your time honestly they make the process look simple it s a joke i made an account and got my card after a week of waiting then told me to wait again for the card to be activated and i waited for a week then contacted them and they told me to wait for 48 working hours and the card will be activated after another week i contacted them and they told me due to our internal policy we will not be able to proceed with you account activation do not waste you time believe me,,negative
13,playstore,2022-09-05 13:01:30,dawood sohail,worst customer service ever it s more 2 months and my card is still not with me,,negative
14,playstore,2022-09-04 11:07:46,Natividad Reyes,very good,,positive
15,playstore,2022-09-02 13:38:54,AHYSH STONE APPAEAL,i get and lisen good fast and security i believe it it my opening day,,positive
16,playstore,2022-09-02 13:08:21,Chesang Bajracharya,what kind of bank is this after delivering a card still showing a account is in process,,negative
17,playstore,2022-09-01 14:23:14,MR. Memo,hi it s been almost week for me to trying activate my account i want to know what are you waiting for to activate my account,,negative
18,playstore,2022-09-01 03:38:19,whiley islive,signup problem,,negative
19,playstore,2022-08-31 23:13:20,Abubakar Shar,great app for 0 balance ,,positive
20,playstore,2022-08-31 12:57:16,Nazia Mohd,very bad experience it s like cheating customers there are many hidden charges if you want to add money also they charge amount onboarding amount they say we give you aed 50 later they say spend 500 we will give you what the hell who wants to use such app which have to pay on every step,,negative
21,playstore,2022-08-31 12:28:00,TOP ENGSH,bad app there is no privacy first account opening take 2 month to complete after that you receive many scammers calls and your personal information not safe i have bad experiance of using that,,negative
22,playstore,2022-08-31 07:54:57,Bijay Bomjan,one of the worst digital banking app its been more than 1 week i have received card and its not activated till now,,negative
23,playstore,2022-08-31 04:49:11,Haider Ali,i need change mobile number help me plz,,negative
24,playstore,2022-08-30 01:46:17,Zelle Agang,how to deposit a money if i open this account,,negative
25,playstore,2022-08-29 21:25:37,BIRDS VILLA,i m using this accout from longer but i didn t get any 50,,negative
26,playstore,2022-08-29 18:23:35,Akil Aslam,joke of an app opened an account about a year back finally reached the top of the queue to complete verification when trying to complete verification i get an error message saying error occured thanks for the not possible to use debit card,,negative
27,playstore,2022-08-29 17:45:09,AwaiS Ahmad,very good experience with yap before i open account i read all reviews about the yap account many review are bad so many people not happy with this account now i open account with in 8 days after request they sent my atm card with in 4 days after 4 days my account properly active now i can use for deposit money  thank you for upgrade your process,,negative
28,playstore,2022-08-29 15:35:49,Muhammad Ali,still not activated my account i registered a month off january very bad services,,negative
29,playstore,2022-08-29 09:03:24,DhinesuBaabu Thangavelu,wonderful customer service satisfied service for a service based company,,positive
30,playstore,2022-08-28 18:05:39,Basheer Hassan,my yap account still not activated for a very long time i opened the account and i received atm card already but still account not active i wanted to use it but there is no way plz solve my problem,,negative
31,playstore,2022-08-27 21:38:15,NAVEED RAZA,worst experience shameful,,negative
32,playstore,2022-08-26 10:34:12,RAJENDRA NEPALI,one of the best digital bank ever good service awesome quick response fast delivery if there is 10 star i give them really awesome,,positive
