,Word,Sentiment
0,experienced,positive
1,center,negative
2,"waste,",negative
3,completely,positive
4,wasted,negative
5,outstanding,positive
6,remote,negative
7,supportive,positive
8,absolute,positive
9,disabled,negative
10,fixed,positive
11,innovative,positive
12,seriously,negative
13,hard,negative
14,flawlessly,positive
15,great,positive
16,surely,positive
17,major,positive
18,liable,negative
19,dark,negative
20,remarkable,positive
21,"previously,",negative
22,wise,positive
23,superb,positive
24,robotic,negative
25,respectfully,positive
26,friendly,positive
27,negative,negative
28,fast,positive
29,positive,positive
30,free,positive
31,full,positive
32,quick,positive
33,exactly,positive
34,appealing,positive
35,early,positive
36,incredible,positive
37,hate,negative
38,slow,negative
39,excited,positive
40,previous,negative
41,straightforward,positive
42,important,positive
43,sure,positive
44,strange,negative
45,particular,positive
46,talented,positive
47,careless,negative
48,previously,negative
49,easy,positive
50,more,positive
51,limited,negative
52,respectful,positive
53,fair,positive
54,clearly,positive
55,appreciated,positive
56,usefully,positive
57,less,negative
58,favorite,positive
59,usually,negative
60,mostly,positive
61,sadly,negative
62,disgusting,negative
63,real,positive
64,magnificent,positive
65,far,positive
66,awesome,positive
67,importantly,positive
68,crushing,positive
69,needless,negative
70,conventional,negative
71,sorry,negative
72,green,negative
73,developed,positive
74,firstly,positive
75,game,negative
76,impressive,positive
77,randomly,negative
78,professional,positive
79,able,positive
80,silly,negative
81,higher,positive
82,mean,negative
83,particularly,positive
84,trapped,negative
85,smart,positive
86,bad,negative
87,satisfied,positive
88,enjoy,positive
89,careful,negative
90,worth,positive
91,missing,negative
92,good,positive
93,amazing,positive
94,hot,positive
95,uselessly,negative
96,right,positive
97,late,negative
98,disappointing,negative
99,accurate,positive
100,okay,positive
101,due,negative
102,win,positive
103,high,positive
104,worthy,positive
105,most,positive
106,kind,positive
107,better,positive
108,anxiously,negative
109,fastly,positive
110,accomplished,positive
111,failed,negative
112,ok,positive
113,adorable,positive
114,secure,positive
115,special,positive
116,certain,positive
117,rewarding,positive
118,professionally,positive
119,extraordinary,positive
120,surprised,positive
121,kindly,positive
122,secret,negative
123,anxious,negative
124,seamless,positive
125,normal,positive
126,calm,positive
127,terrible,negative
128,directly,positive
129,glad,positive
130,other,negative
131,stunning,positive
132,available,positive
133,forced,negative
134,excuse,negative
135,useful,positive
136,nicely,positive
137,sad,negative
138,wow,positive
139,loved,positive
140,extremely,negative
141,complained,negative
142,interesting,positive
143,funny,positive
144,black,negative
145,popular,positive
146,live,positive
147,proud,positive
148,horrible,negative
149,fairly,positive
150,cute,positive
151,top,positive
152,very,positive
153,safe,positive
154,unfortunately,negative
155,wide,negative
156,success,positive
157,older,positive
158,complete,positive
159,thanks,positive
160,perfectly,positive
161,quickly,positive
162,expected,negative
163,liked,positive
164,ridiculous,negative
165,plain,negative
166,wonderful,positive
167,many,positive
168,beloved,positive
169,huge,positive
170,badly,negative
171,incompetent,negative
172,round,negative
173,exciting,positive
174,frustrated,negative
175,impressed,positive
176,hilarious,positive
177,unbelievable,negative
178,down,negative
179,first,positive
180,beautifully,positive
181,few,negative
182,magical,positive
183,much,positive
184,striking,positive
185,pathetic,negative
186,straight,positive
187,confirmed,positive
188,successfully,positive
189,unable,negative
190,ridiculously,negative
191,empty,negative
192,hidden,negative
193,ugly,negative
194,loose,negative
195,powerful,positive
196,direct,positive
197,new,positive
198,brilliant,positive
199,beautiful,positive
200,honest,positive
201,social,positive
202,wants,positive
203,enjoying,positive
204,honestly,positive
205,highly,positive
206,lovely,positive
207,laugh,positive
208,excellent,positive
209,annoying,negative
210,closed,negative
211,apparently,positive
212,detailed,positive
213,willing,positive
214,rose,positive
215,half,negative
216,lazy,negative
217,past,negative
218,own,positive
219,lately,negative
220,really,positive
221,filled,positive
222,unique,positive
223,least,negative
224,cool,positive
225,nice,positive
226,specially,positive
227,unnecessary,negative
228,loving,positive
229,gay,positive
230,bored,negative
231,chilling,negative
232,hahahaha,positive
233,main,positive
234,fine,positive
235,love,positive
236,ok?,positive
237,waste,negative
238,worst,negative
239,creative,positive
240,disappointed,negative
241,heavily,negative
242,useless,negative
243,magic,positive
244,drag,negative
245,precious,positive
246,haha,positive
247,celebrated,positive
248,mediocre,negative
249,poor,negative
250,whole,positive
251,little,negative
252,frustrating,negative
253,fake,negative
254,easily,positive
255,boring,negative
256,lucky,positive
257,active,negative
258,fail,negative
259,successful,positive
260,latest,positive
261,worthless,negative
262,average,negative
263,exact,positive
264,happy,positive
265,effectively,positive
266,worse,negative
267,comfortable,positive
268,economic,positive
269,usual,negative
270,dumb,negative
271,nearly,positive
272,original,positive
273,offers,positive
274,handy,positive
275,pretty,positive
276,excellently,positive
277,near,positive
278,ready,positive
279,decent,positive
280,impossible,negative
281,legal,positive
282,fun,positive
